geo,year,oil_consumption_barrels
mexico,2007,2267.57255
united_states,2007,20208.14321
total_north_america,2007,24912.28337
argentina,2007,575.52734
brazil,2007,2116.91691
chile,2007,351.95964
colombia,2007,275.52745
ecuador,2007,182.74945
peru,2007,152.22974
trinidad_tobago,2007,42.09526
venezuela,2007,653.55071
central_america,2007,343.63748
other_caribbean,2007,778.84437
other_south_america,2007,155.37756
total_south_central_america,2007,5628.41591
austria,2007,280.86585
belgium,2007,660.97285
bulgaria,2007,105.71521
croatia,2007,95.34655
cyprus,2007,57.04461
czech_republic,2007,204.80225
denmark,2007,189.93571
estonia,2007,31.25819
finland,2007,216.66587
france,2007,1874.80527
germany,2007,2304.83105
greece,2007,446.12235
hungary,2007,162.4748
iceland,2007,17.6589
ireland,2007,194.42157
italy,2007,1799.29298
latvia,2007,36.38265
lithuania,2007,58.75332
luxembourg,2007,59.86543
netherlands,2007,1025.72298
north_macedonia,2007,20.6958
norway,2007,230.27146
poland,2007,530.68384
portugal,2007,302.11578
romania,2007,217.52441
slovakia,2007,78.57667
slovenia,2007,54.70249
spain,2007,1545.54441
sweden,2007,344.2076
switzerland,2007,251.06949
turkey,2007,693.73016
ukraine,2007,324.45036
united_kingdom,2007,1729.85575
other_europe,2007,317.1255
total_europe,2007,16463.49211
azerbaijan,2007,95.15985
belarus,2007,161.10118
kazakhstan,2007,235.00957
russian_federation,2007,2785.92364
turkmenistan,2007,99.74908
uzbekistan,2007,107.59797
other_cis,2007,57.33458
total_cis,2007,3541.87586
iran,2007,1740.3069
iraq,2007,443.54369
israel,2007,240.32332
kuwait,2007,388.91382
oman,2007,89.0086
qatar,2007,143.48715
saudi_arabia,2007,2378.49599
united_arab_emirates,2007,570.54707
other_middle_east,2007,777.29105
total_middle_east,2007,6771.91759
algeria,2007,285.98077
egypt,2007,641.5723
morocco,2007,211.33169
south_africa,2007,538.78857
eastern_africa,2007,367.85529
middle_africa,2007,144.77892
western_africa,2007,459.40225
other_northern_africa,2007,350.71896
other_southern_africa,2007,40.02369
total_africa,2007,3040.45245
australia,2007,917.09528
bangladesh,2007,77.98475
china,2007,7681.44871
china_hong_kong_sar,2007,321.94747
india,2007,2962.60529
indonesia,2007,1290.90332
japan,2007,5210.55916
malaysia,2007,699.84562
new_zealand,2007,152.16513
pakistan,2007,384.04029
philippines,2007,293.81096
singapore,2007,920.19427
south_korea,2007,2371.40235
sri_lanka,2007,96.2057
taiwan,2007,1058.18804
thailand,2007,992.83968
vietnam,2007,290.36761
other_asia_pacific,2007,257.61257
total_asia_pacific,2007,25979.21621
total_world,2007,86337.6535
canada,2008,2341.68912
mexico,2008,2329.11051
united_states,2008,18848.28484
total_north_america,2008,23519.08447
argentina,2008,575.64648
brazil,2008,2198.68967
chile,2008,369.15674
colombia,2008,270.65664
ecuador,2008,188.07439
peru,2008,170.18015
trinidad_tobago,2008,44.65333
venezuela,2008,717.19093
central_america,2008,345.63832
other_caribbean,2008,717.25604
other_south_america,2008,173.24529
total_south_central_america,2008,5770.388
austria,2008,272.34817
belgium,2008,695.38381
bulgaria,2008,103.97974
croatia,2008,90.83018
cyprus,2008,58.01354
czech_republic,2008,205.75587
denmark,2008,186.87861
estonia,2008,29.63811
finland,2008,210.18509
france,2008,1828.03086
germany,2008,2434.2563
greece,2008,426.20896
hungary,2008,154.44707
iceland,2008,16.31817
ireland,2008,185.26861
italy,2008,1714.67998
latvia,2008,35.4473
lithuania,2008,62.27984
luxembourg,2008,60.13581
netherlands,2008,971.97772
north_macedonia,2008,18.93061
norway,2008,214.25298
poland,2008,541.85098
portugal,2008,287.68866
romania,2008,209.02352
slovakia,2008,82.35044
slovenia,2008,63.22445
spain,2008,1473.74676
sweden,2008,335.12024
switzerland,2008,259.15108
turkey,2008,681.6606
ukraine,2008,310.44293
united_kingdom,2008,1690.20698
other_europe,2008,317.47595
total_europe,2008,16227.18994
azerbaijan,2008,78.70423
belarus,2008,158.61429
kazakhstan,2008,235.1637
russian_federation,2008,2871.28315
turkmenistan,2008,135.70514
uzbekistan,2008,102.13779
other_cis,2008,60.65987
total_cis,2008,3642.26817
iran,2008,1806.41337
iraq,2008,492.34393
israel,2008,238.94042
kuwait,2008,409.25549
oman,2008,117.72803
qatar,2008,174.25436
saudi_arabia,2008,2604.11462
united_arab_emirates,2008,597.31109
other_middle_east,2008,813.31139
total_middle_east,2008,7253.67271
algeria,2008,308.66163
egypt,2008,679.0523
morocco,2008,231.26116
south_africa,2008,510.05573
eastern_africa,2008,376.86157
middle_africa,2008,163.4743
western_africa,2008,492.00892
other_northern_africa,2008,358.69024
other_southern_africa,2008,44.19356
total_africa,2008,3164.25941
australia,2008,923.68797
bangladesh,2008,77.2486
china,2008,7818.68491
china_hong_kong_sar,2008,291.63504
india,2008,3100.22841
indonesia,2008,1319.95256
japan,2008,4977.23292
malaysia,2008,672.31618
new_zealand,2008,153.23221
pakistan,2008,389.2876
philippines,2008,280.49727
singapore,2008,973.29922
south_korea,2008,2270.3927
sri_lanka,2008,88.11267
taiwan,2008,990.05776
thailand,2008,945.46826
vietnam,2008,304.76756
other_asia_pacific,2008,246.84356
total_asia_pacific,2008,25822.94539
total_world,2008,85399.80809
canada,2009,2290.56161
mexico,2009,2239.36822
united_states,2009,18030.47037
total_north_america,2009,22560.4002
argentina,2009,547.64289
brazil,2009,2200.15095
chile,2009,351.35019
colombia,2009,269.08016
ecuador,2009,190.66662
peru,2009,173.86254
trinidad_tobago,2009,43.37972
venezuela,2009,750.60892
central_america,2009,344.55603
other_caribbean,2009,678.8168
other_south_america,2009,175.95446
total_south_central_america,2009,5726.06927
austria,2009,257.8149
belgium,2009,619.51437
bulgaria,2009,94.39866
croatia,2009,88.7222
cyprus,2009,57.07412
czech_republic,2009,199.08921
denmark,2009,169.20022
estonia,2009,26.74294
finland,2009,198.69691
france,2009,1756.09509
germany,2009,2338.87172
greece,2009,402.27692
hungary,2009,150.35669
iceland,2009,15.17323
ireland,2009,158.97033
italy,2009,1570.48665
latvia,2009,32.12088
lithuania,2009,53.70512
luxembourg,2009,56.45856
netherlands,2009,935.46941
north_macedonia,2009,19.46012
norway,2009,213.5683
poland,2009,539.22022
portugal,2009,267.27917
romania,2009,188.05814
slovakia,2009,76.70133
slovenia,2009,53.90592
spain,2009,1388.86252
sweden,2009,309.32424
switzerland,2009,252.50545
turkey,2009,705.74712
ukraine,2009,301.85657
united_kingdom,2009,1622.88149
other_europe,2009,317.55301
total_europe,2009,15438.16172
azerbaijan,2009,68.99346
belarus,2009,179.34447
kazakhstan,2009,190.75239
russian_federation,2009,2784.84457
turkmenistan,2009,98.46575
uzbekistan,2009,96.2926
other_cis,2009,64.61331
total_cis,2009,3483.30655
iran,2009,1770.80343
iraq,2009,470.25548
israel,2009,223.58835
kuwait,2009,434.56438
oman,2009,114.04805
qatar,2009,171.57964
saudi_arabia,2009,2826.58067
united_arab_emirates,2009,598.61474
